latA,lonA,latB,lonB,latC,lonC,bislatA,bislonA
48.71828,-2.2,48.947744,-3.408874,48.6562,-5.21241,48.71828,-2.2
50.2737,-3.10292,49.9433,-5.235,50.025,-5.751151,50.2737,-3.10292
50.706665,-2.776133,49.47593,-2.78428,48.796002,-1.586826,50.706665,-2.776133
50.041337,-5.744653,49.716387,-3.700498,52.069633,-6.847427,50.041337,-5.744653
50.008672,-6.359122,49.949148,-6.185416,49.855039,-6.405462,50.008672,-6.359122
43.01418,4.74851,43.87814,-9.64132,32.89269,-10.52266,43.01418,4.74851
32.35775,-16.46263,32.835656,-17.498501,33.22177,-16.08819,32.35775,-16.46263
37.90382,-24.71545,38.02377,-25.98966,36.54092,-24.82005,37.90382,-24.71545
38.17153,-29.524367,38.601529,-26.41802,39.25541,-28.1847,38.17153,-29.524367
39.74595,-30.98443,39.77357,-31.284926,39.145652,-31.245731,39.74595,-30.98443
16.5084,-62.343385,17.30678,-61.19972,18.290831,-62.072293,16.5084,-62.343385
16.538159,-61.473879,15.859457,-61.343834,16.437859,-60.877363,16.538159,-61.473879
16.538159,-61.473879,15.940797,-61.727095,16.367691,-61.850551,16.538159,-61.473879
15.867206,-61.661995,15.88869,-61.563093,15.808463,-61.570786,15.867206,-61.661995
15.941339,-61.704324,16.00899,-61.537667,16.219572,-61.629138,15.941339,-61.704324
16.538159,-61.473879,16.266734,-61.587339,16.0,-60.877363,16.538159,-61.473879
